Age,Income,Employment_Length,Loan_Amount,Interest_Rate,Loan_Status,Loan_Percent_Income,Historical_Length,Historical_Default_Y,Home_Status_MORTGAGE,Home_Status_OTHER,Home_Status_OWN,Home_Status_RENT,Loan_Intent_DEBTCONSOLIDATION,Loan_Intent_EDUCATION,Loan_Intent_HOMEIMPROVEMENT,Loan_Intent_MEDICAL,Loan_Intent_PERSONAL,Loan_Intent_VENTURE,Loan_Grade_A,Loan_Grade_B,Loan_Grade_C,Loan_Grade_D,Loan_Grade_E,Loan_Grade_F,Loan_Grade_G
1,0.10812544460028392,-0.19336063664536673,0.37054110088907405,1.6877370015048891,0.0,0.004804155050547228,-0.19656685822506398,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,-0.5705425774599213,-0.441158584386399,-0.5381635975585765,-1.0930057318253705,0.0,0.004804155050547228,0.05113800884504882,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,-0.027674119600083025,2.284618840764956,0.623398060457116,0.5079341268959484,0.0,0.38088772964322437,0.7942526100553873,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,-0.6445921398246072,-0.19336063664536673,-0.873989246984882,0.9104915381798394,0.0,-0.4653003131902996,0.5465477429852744,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,-0.47387268768700297,-1.1845524276094956,0.24411262110505313,2.362794814273261,0.0,0.9450130915322406,0.7942526100553873,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.8453230788308473,0.054437311095665505,2.187950497784375,0.6039285865097995,0.0,0.38088772964322437,0.5465477429852744,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,-0.6833920153104263,0.55003320657773,-1.0043686167621535,-0.9722385084402032,0.0,-0.5593212068384689,1.0419574771255,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0.19542516444337696,1.541224997541859,1.0026834998091787,1.0993838619361262,0.0,0.38088772964322437,0.2988428759151616,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,-0.39627293671536473,2.284618840764956,-0.6408867373830934,1.6258050920765985,0.0,-0.4653003131902996,-0.19656685822506398,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,-0.667794465365127,-0.6889565321274312,-0.7989223371131196,1.7744416747044969,0.0,-0.27725852589396077,0.7942526100553873,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,-0.6909773909679039,-0.9367544798684635,-0.3406190978960437,0.4274226446391704,0.0,0.6629504105877323,0.7942526100553873,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.414450678380471,0.55003320657773,-0.5381635975585765,1.7558621018760099,0.0,-0.27725852589396077,0.7942526100553873,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,5.307308759700046,-0.6889565321274312,1.3187546992692312,-0.34982281868588,0.0,-1.1234465687274848,-0.19656685822506398,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,-0.18287362154335954,0.3022352588366978,1.5992678887900276,-0.10209518097271629,0.0,1.6971802407175949,-0.19656685822506398,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.7066719406019177,-0.19336063664536673,0.907862139971163,0.5574796544385812,0.0,3.2015145390883046,0.2988428759151616,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,-0.8150399928338106,-1.1845524276094956,-1.0833864166271667,0.13634267032620345,0.0,-0.5593212068384689,0.05113800884504882,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,-0.24107343477208823,0.7978311543187623,1.160719099539205,-1.278801460110243,0.0,1.3210966661249177,0.2988428759151616,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0.030525693628645663,0.55003320657773,-0.6961991972886026,0.891911965351352,0.0,-0.8413838877829769,0.05113800884504882,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1,-0.47387268768700297,-0.9367544798684635,0.08607702137502696,3.1493300640125548,0.0,0.6629504105877323,0.5465477429852744,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,-0.24107343477208823,0.054437311095665505,1.0026834998091787,1.523617441519919,0.0,1.2270757724767483,0.2988428759151616,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1.2527993711829197,2.284618840764956,0.7932863301668941,-1.551301861594723,0.0,-0.5593212068384689,0.5465477429852744,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.06932556911446479,-0.19336063664536673,-0.2181415081052734,-1.1611308321964904,0.0,-0.4653003131902996,0.5465477429852744,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.591317475692708,0.054437311095665505,1.4372813990667508,0.5667694408528247,0.0,-0.7473629941348076,-0.19656685822506398,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.970519467919602,-0.9367544798684635,1.6348258987292834,0.6751502823523341,0.0,-0.4653003131902996,1.0419574771255,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,-0.6290721896302794,2.284618840764956,-0.3248155379230411,-1.0217840359828358,0.0,0.47490862329139377,0.5465477429852744,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.5126725631728221,1.541224997541859,2.425003897379414,2.3535050278590166,0.0,4.2357443692181675,0.7942526100553873,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,-0.5902723141444604,-0.441158584386399,0.44955890075408717,-1.0403636088113233,0.0,1.6971802407175949,0.2988428759151616,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1,-0.5902723141444604,0.3022352588366978,-0.6408867373830934,-1.7401941853510101,0.0,-0.08921673859762219,1.0419574771255,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,-0.3574730612295456,-0.19336063664536673,-0.7199045372481065,-1.368602728781265,0.0,-0.5593212068384689,0.05113800884504882,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,-0.3574730612295456,-0.441158584386399,0.5680856005516067,0.5667694408528247,0.0,1.03903398518041,0.05113800884504882,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,-0.12467380831463085,-1.1845524276094956,0.8525496800656539,0.02176863788386502,0.0,0.7569713042359018,0.05113800884504882,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,-0.3656016351438247,-0.6889565321274312,0.44955890075408717,0.6256047548097013,0.0,0.8509921978840712,1.0419574771255,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,-0.47387268768700297,-1.1845524276094956,-0.0640567983684979,-0.6687721522415778,0.0,0.47490862329139377,0.2988428759151616,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,-0.09751389547455745,-0.19336063664536673,-1.0043686167621535,-1.7401941853510101,0.0,-1.1234465687274848,0.2988428759151616,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1,0.10812544460028392,0.054437311095665505,-0.8226276770726235,-1.625620152908672,0.0,-1.0294256750793156,1.0419574771255,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.5175225476085495,-0.441158584386399,-1.1782077764651824,0.09918352466922861,0.0,-1.0294256750793156,0.5465477429852744,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,-0.9976710067455612,-0.6889565321274312,-1.2098148964111877,0.8299800559230613,0.0,-0.3712794195421302,0.5465477429852744,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,-0.6290721896302794,-0.9367544798684635,1.3187546992692312,-1.0930057318253705,0.0,3.3895563263846435,0.7942526100553873,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
